Year,ID,YoD
2000,R35,NA
2000,A70,NA
2000,A72,NA
2000,D20,NA
2000,G62,NA
2000,G63,NA
2000,I90,NA
2000,I92,NA
2000,R38,NA
2000,A73,NA
2000,G64,NA
2000,G65,NA
2000,G69,NA
2000,R39,NA
2000,R40,NA
2000,A75,NA
2000,H12,NA
2000,I104,NA
2000,I96,NA
2000,R41,NA
2000,I100,NA
2000,I99,NA
2000,C26,NA
2000,R48,NA
2000,G82,NA
2000,A88,NA
2000,R52,NA
2000,A96,NA
2000,G95,NA
2001,I36,2002
2001,R02,2005
2001,G04,2006
2001,I15,2006
2001,D08,2006
2001,A59,2006
2001,C21,2007
2001,D15,2008
2001,I80,2008
2001,R07,2009
2001,G25,2009
2001,H08,2009
2001,G23,2011
2001,A51,2011
2001,A12,2012
2001,A28,2012
2001,A30,2013
2001,I11,2013
2001,C06,2013
2001,A11,2013
2001,A24,2013
2001,G29,2013
2001,G34,2013
2001,D10,2013
2001,C19,2013
2001,I82,2014
2001,I19,2015
2001,I63,2015
2001,W03,2017
2001,G49,2017
2001,B07,NA
2001,R05,NA
2001,G03,NA
2001,I17,NA
2001,G02,NA
2001,I20,NA
2001,R04,NA
2001,I22,NA
2001,R18,NA
2001,I16,NA
2001,R17,NA
2001,I12,NA
2001,I33,NA
2001,C10,NA
2001,D09,NA
2001,G20,NA
2001,H05,NA
2001,G27,NA
2001,A35,NA
2001,I13,NA
2001,I27,NA
2001,I35,NA
2001,A34,NA
2001,C08,NA
2001,D11,NA
2001,I26,NA
2001,G22,NA
2001,I21,NA
2001,R13,NA
2001,A42,NA
2001,I04,NA
2001,I24,NA
2001,I40,NA
2001,A43,NA
2001,G31,NA
2001,D12,NA
2001,I50,NA
2001,I54,NA
2001,A50,NA
2001,D13,NA
2001,G37,NA
2001,R22,NA
2001,C13,NA
2001,R23,NA
2001,I51,NA
2001,A52,NA
2001,G41,NA
2001,R24,NA
2001,H09,NA
2001,A54,NA
2001,I57,NA
2001,A56,NA
2001,D17,NA
2001,G48,NA
2001,I65,NA
2001,B14,NA
2001,G46,NA
2001,G50,NA
2001,I68,NA
2001,I69,NA
2001,G51,NA
2001,G52,NA
2001,I71,NA
2001,A62,NA
2001,G53,NA
2001,G54,NA
2001,R29,NA
2001,A64,NA
2001,G58,NA
2001,A67,NA
2001,A69,NA
2001,I83,NA
2001,C23,NA
2001,D19,NA
2001,R35,NA
2001,A70,NA
2001,A72,NA
2001,D20,NA
2001,G62,NA
2001,G63,NA
2001,I90,NA
2001,I92,NA
2001,R38,NA
2001,A73,NA
2001,G64,NA
2001,G65,NA
2001,G69,NA
2001,R39,NA
2001,R40,NA
2001,A75,NA
2001,H12,NA
2001,I104,NA
2001,I96,NA
2001,R41,NA
2001,I100,NA
2001,I99,NA
2001,C26,NA
2001,R48,NA
2001,G82,NA
2001,A88,NA
2001,R52,NA
2001,A96,NA
2001,G95,NA
2002,R02,2005
2002,G04,2006
2002,I15,2006
2002,D08,2006
2002,A59,2006
2002,C21,2007
2002,D15,2008
2002,I80,2008
2002,R07,2009
2002,G25,2009
2002,H08,2009
2002,G23,2011
2002,A51,2011
2002,A12,2012
2002,A28,2012
2002,A30,2013
2002,I11,2013
2002,C06,2013
2002,A11,2013
2002,A24,2013
2002,G29,2013
2002,G34,2013
2002,D10,2013
2002,C19,2013
2002,I82,2014
2002,I19,2015
2002,I63,2015
2002,W03,2017
2002,G49,2017
2002,B07,NA
2002,R05,NA
2002,G03,NA
2002,I17,NA
2002,G02,NA
2002,I20,NA
2002,R04,NA
2002,I22,NA
2002,R18,NA
2002,I16,NA
2002,R17,NA
2002,I12,NA
2002,I33,NA
2002,C10,NA
2002,D09,NA
2002,G20,NA
2002,H05,NA
2002,G27,NA
2002,A35,NA
2002,I13,NA
2002,I27,NA
2002,I35,NA
2002,A34,NA
2002,C08,NA
2002,D11,NA
2002,I26,NA
2002,G22,NA
2002,I21,NA
2002,R13,NA
2002,A42,NA
2002,I04,NA
2002,I24,NA
2002,I40,NA
2002,A43,NA
2002,G31,NA
2002,D12,NA
2002,I50,NA
2002,I54,NA
2002,A50,NA
2002,D13,NA
2002,G37,NA
2002,R22,NA
2002,C13,NA
2002,R23,NA
2002,I51,NA
2002,A52,NA
2002,G41,NA
2002,R24,NA
2002,H09,NA
2002,A54,NA
2002,I57,NA
2002,A56,NA
2002,D17,NA
2002,G48,NA
2002,I65,NA
2002,B14,NA
2002,G46,NA
2002,G50,NA
2002,I68,NA
2002,I69,NA
2002,G51,NA
2002,G52,NA
2002,I71,NA
2002,A62,NA
2002,G53,NA
2002,G54,NA
2002,R29,NA
