Year,Indicator,Value
1967,SoGHerringR_UpperCI,1921.9475
1968,SoGHerringR_UpperCI,940.70185
1969,SoGHerringR_UpperCI,1693.1205
1970,SoGHerringR_UpperCI,1585.5555
1971,SoGHerringR_UpperCI,1136.482
1972,SoGHerringR_UpperCI,1039.778
1973,SoGHerringR_UpperCI,1173.779
1974,SoGHerringR_UpperCI,1511.056
1975,SoGHerringR_UpperCI,943.2347
1976,SoGHerringR_UpperCI,1560.274
1977,SoGHerringR_UpperCI,1255.2125
1978,SoGHerringR_UpperCI,650.34035
1979,SoGHerringR_UpperCI,1079.2525
1980,SoGHerringR_UpperCI,808.21225
1981,SoGHerringR_UpperCI,793.13265
1982,SoGHerringR_UpperCI,636.53085
1983,SoGHerringR_UpperCI,551.3301
1984,SoGHerringR_UpperCI,1029.371
1985,SoGHerringR_UpperCI,1958.078
1986,SoGHerringR_UpperCI,1078.6155
1987,SoGHerringR_UpperCI,2669.838
1988,SoGHerringR_UpperCI,860.80325
1989,SoGHerringR_UpperCI,2197.594
1990,SoGHerringR_UpperCI,1220.2345
1991,SoGHerringR_UpperCI,2738.974
1992,SoGHerringR_UpperCI,1897.3755
1993,SoGHerringR_UpperCI,2402.324
1994,SoGHerringR_UpperCI,1073.1255
1995,SoGHerringR_UpperCI,2094.9355
1996,SoGHerringR_UpperCI,3087.39
1997,SoGHerringR_UpperCI,3254.569
1998,SoGHerringR_UpperCI,1477.969
1999,SoGHerringR_UpperCI,2154.631
2000,SoGHerringR_UpperCI,2492.376
2001,SoGHerringR_UpperCI,2912.2495
2002,SoGHerringR_UpperCI,2870.483
2003,SoGHerringR_UpperCI,1648.2195
2004,SoGHerringR_UpperCI,1594.9905
2005,SoGHerringR_UpperCI,1392.3065
2006,SoGHerringR_UpperCI,2347.6465
2007,SoGHerringR_UpperCI,648.513
2008,SoGHerringR_UpperCI,2364.1585
2009,SoGHerringR_UpperCI,497.8362
2010,SoGHerringR_UpperCI,3143.089
2011,SoGHerringR_UpperCI,1936.3265
2012,SoGHerringR_UpperCI,1115.089
2013,SoGHerringR_UpperCI,1957.6155
2014,SoGHerringR_UpperCI,2115.6785
2015,SoGHerringR_UpperCI,1828.8215
2016,SoGHerringR_UpperCI,1689.2145
2017,SoGHerringR_UpperCI,1813.1655
2018,SoGHerringR_UpperCI,2008.077
2019,SoGHerringR_UpperCI,5279.273
2020,SoGHerringR_UpperCI,4476.7195
1951,PRDHerringR_Med,379.606
1952,PRDHerringR_Med,269.052
1953,PRDHerringR_Med,496.0275
1954,PRDHerringR_Med,125.76
1955,PRDHerringR_Med,274.0755
1956,PRDHerringR_Med,151.4965
1957,PRDHerringR_Med,243.7095
1958,PRDHerringR_Med,495.993
1959,PRDHerringR_Med,158.764
1960,PRDHerringR_Med,1051.77
1961,PRDHerringR_Med,595.9605
1962,PRDHerringR_Med,295.2285
1963,PRDHerringR_Med,943.265
1964,PRDHerringR_Med,225.6455
1965,PRDHerringR_Med,111.395
1966,PRDHerringR_Med,74.59875
1967,PRDHerringR_Med,136.9955
1968,PRDHerringR_Med,91.5618
1969,PRDHerringR_Med,175.0595
1970,PRDHerringR_Med,187.887
1971,PRDHerringR_Med,73.0752
1972,PRDHerringR_Med,189.884
1973,PRDHerringR_Med,190.683
1974,PRDHerringR_Med,128.0345
1975,PRDHerringR_Med,61.95655
1976,PRDHerringR_Med,88.59225
1977,PRDHerringR_Med,47.00675
1978,PRDHerringR_Med,44.607
1979,PRDHerringR_Med,238.9115
1980,PRDHerringR_Med,113.634
1981,PRDHerringR_Med,120.31
1982,PRDHerringR_Med,179.272
1983,PRDHerringR_Med,474.793
1984,PRDHerringR_Med,178.361
1985,PRDHerringR_Med,146.0315
1986,PRDHerringR_Med,388.5425
1987,PRDHerringR_Med,307.729
1988,PRDHerringR_Med,207.4745
1989,PRDHerringR_Med,104.3435
1990,PRDHerringR_Med,427.7545
1991,PRDHerringR_Med,362.123
1992,PRDHerringR_Med,151.9805
1993,PRDHerringR_Med,68.27905
1994,PRDHerringR_Med,115.3945
1995,PRDHerringR_Med,383.086
1996,PRDHerringR_Med,176.9465
1997,PRDHerringR_Med,266.168
1998,PRDHerringR_Med,84.43095
1999,PRDHerringR_Med,187.352
2000,PRDHerringR_Med,290.414
2001,PRDHerringR_Med,185.114
2002,PRDHerringR_Med,530.601
2003,PRDHerringR_Med,89.34035
2004,PRDHerringR_Med,164.8345
2005,PRDHerringR_Med,142.807
2006,PRDHerringR_Med,380.975
2007,PRDHerringR_Med,148.2265
2008,PRDHerringR_Med,146.021
2009,PRDHerringR_Med,234.975
2010,PRDHerringR_Med,288.671
2011,PRDHerringR_Med,154.7415
2012,PRDHerringR_Med,229.947
