"","year","stock","stock_name","smolt","run","region","lat","long","agg_reg","group","survival","M"
"730","1995","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01003783,4.60139432353736
"731","1996","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02324577,3.76163209898491
"732","1997","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.008297097,4.79184958439569
"733","1998","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.009150413,4.69395626410131
"734","1999","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.0209583,3.86522052968886
"735","2000","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01435001,4.24400463991264
"736","2001","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02407369,3.7266357360702
"737","2002","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.008603918,4.75553759807302
"738","2003","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01371309,4.28940442787067
"739","2004","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",NA,NA
"740","2005","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.06803599,2.68771844911131
"741","2006","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.00746149,4.89800015280674
"742","2007","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.0574197,2.85736782896326
"743","2008","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01985014,3.91954421897708
"744","2009","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01033716,4.57201010913694
"745","2010","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.04702488,3.05707845563243
"746","2011","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.03503051,3.35153588292925
"747","2012","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.007042313,4.95581861163693
"748","2013","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.01869253,3.97963130016973
"749","2014","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02364826,3.74446573968951
"750","2015","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.02761228,3.58949467767371
"751","2016","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.05150217,2.96613133627781
"752","2017","HAR","Harrison River","oceantype","fall","LFR",49.218903,-121.945066,"SS","SS_oceantype",0.003190629,5.74753720293916
"753","1971","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"754","1972","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"755","1973","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"756","1974","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"757","1975","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"758","1976","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"759","1977","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"760","1978","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"761","1979","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01015669,4.58962267731362
"762","1980","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.0171892,4.06347399935562
"763","1981","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01945396,3.93970463066942
"764","1982","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"765","1983","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01177099,4.44211724909765
"766","1984","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01708434,4.06959302453858
"767","1985","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.008208459,4.80259007106462
"768","1986","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.002034965,6.19727665925268
"769","1987","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01611742,4.12785460434075
"770","1988","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.00387322,5.55366907655129
"771","1989","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.001422063,6.555646644785
"772","1990","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.002874434,5.8518994936794
"773","1991","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.008648938,4.75031874014224
"774","1992","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.008268811,4.79526455295513
"775","1993","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.005509194,5.20133694600904
"776","1994","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.009327619,4.67477549497661
"777","1995","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.004299915,5.44916002391986
"778","1996","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.006575691,5.02437561138337
"779","1997","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01152751,4.46301892639301
"780","1998","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01002887,4.60228734536909
"781","1999","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01092596,4.51661367000744
"782","2000","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.003107573,5.77391324330264
"783","2001","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.00407454,5.50299742209671
"784","2002","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.004287435,5.45206662695485
"785","2003","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.009762638,4.62919262819281
"786","2004","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.005038859,5.29057561141758
"787","2005","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01454609,4.23043305000095
"788","2006","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.008507851,4.76676589472651
"789","2007","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.005586891,5.18733231827124
"790","2008","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.003291688,5.7163547758714
"791","2009","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.002464166,6.00590186545026
"792","2010","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.003696443,5.60038427307789
"793","2011","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01574156,4.15145093035763
"794","2012","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.004180745,5.47726581866142
"795","2013","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.005625704,5.1804091831674
"796","2014","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.002234259,6.1038456495135
"797","2015","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",0.01750474,4.04528357758498
"798","2016","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"799","2017","KLM","Kitsumkalum River Summer","oceantype","summer","NBC",54.520959,-128.660892,"north","north_oceantype",NA,NA
"800","1971","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"801","1972","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"802","1973","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"803","1974","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"804","1975","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"805","1976","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"806","1977","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"807","1978","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
