"year","metric","anomaly","time_step","class","region"
1882,"seal_anom",NA,"annual","predator","sog"
1882,"nrkw_anom",NA,"annual","predator","basin"
1882,"srkw_anom",NA,"annual","predator","sog"
1882,"rkw_anom",NA,"annual","predator","basin"
1882,"bi_anom",NA,"annual","physical","basin"
1882,"fish_diet_anom",NA,"annual","diet","wcvi"
1882,"boreal_anom",NA,"annual","diet","wcvi"
1882,"south_anom",NA,"annual","diet","wcvi"
1882,"zp_env_anom",NA,"annual","diet","sog"
1882,"fish_env_anom",NA,"annual","diet","sog"
1882,"cci_anom",NA,"seasonal","diet","ca_current"
1883,"prime_anom_pdo",-1.35788131909099,"seasonal","physical","basin"
1883,"prime_anom_npgo",NA,"seasonal","physical","basin"
1883,"prime_anom_sst_arc",NA,"seasonal","physical","basin"
1883,"annual_anom_pdo",-1.62578030358801,"annual","physical","basin"
