"year","stock","juv_group3b","escapement"
2009,"yakoun","north_streamtype",NA
2010,"yakoun","north_streamtype",NA
2011,"yakoun","north_streamtype",NA
2012,"yakoun","north_streamtype",NA
2013,"yakoun","north_streamtype",NA
2014,"yakoun","north_streamtype",NA
2015,"yakoun","north_streamtype",NA
2016,"yakoun","north_streamtype",NA
2017,"yakoun","north_streamtype",NA
2018,"yakoun","north_streamtype",NA
1975,"nass","north_streamtype",NA
1976,"nass","north_streamtype",NA
1977,"nass","north_streamtype",13.688
1978,"nass","north_streamtype",15.485
1979,"nass","north_streamtype",11.253
1980,"nass","north_streamtype",13.476
1981,"nass","north_streamtype",12.625
1982,"nass","north_streamtype",7.959
1983,"nass","north_streamtype",13.252
1984,"nass","north_streamtype",20.967
1985,"nass","north_streamtype",17.782
1986,"nass","north_streamtype",36.523
1987,"nass","north_streamtype",19.54
1988,"nass","north_streamtype",15.345
1989,"nass","north_streamtype",28.133
1990,"nass","north_streamtype",24.051
1991,"nass","north_streamtype",6.907
1992,"nass","north_streamtype",16.808
1993,"nass","north_streamtype",24.814
1994,"nass","north_streamtype",21.169
1995,"nass","north_streamtype",7.844
1996,"nass","north_streamtype",21.842
1997,"nass","north_streamtype",18.702
1998,"nass","north_streamtype",23.213
1999,"nass","north_streamtype",11.544
2000,"nass","north_streamtype",18.912
2001,"nass","north_streamtype",29.687
2002,"nass","north_streamtype",13.773
2003,"nass","north_streamtype",26.94
2004,"nass","north_streamtype",15.912
2005,"nass","north_streamtype",14.363
2006,"nass","north_streamtype",24.725
2007,"nass","north_streamtype",21.459
2008,"nass","north_streamtype",17.862
2009,"nass","north_streamtype",28.71
2010,"nass","north_streamtype",19.341
2011,"nass","north_streamtype",9.639
2012,"nass","north_streamtype",9.815
2013,"nass","north_streamtype",9.306
2014,"nass","north_streamtype",13.108
2015,"nass","north_streamtype",19.465
2016,"nass","north_streamtype",10.191
2017,"nass","north_streamtype",4.984
2018,"nass","north_streamtype",12.626
1975,"skeena","north_streamtype",20.319
1976,"skeena","north_streamtype",13.078
1977,"skeena","north_streamtype",29.018
1978,"skeena","north_streamtype",22.661
1979,"skeena","north_streamtype",18.488
1980,"skeena","north_streamtype",23.429
1981,"skeena","north_streamtype",24.523
1982,"skeena","north_streamtype",17.092
1983,"skeena","north_streamtype",23.562
1984,"skeena","north_streamtype",37.598
1985,"skeena","north_streamtype",53.599
1986,"skeena","north_streamtype",59.968
1987,"skeena","north_streamtype",59.12
1988,"skeena","north_streamtype",68.705
1989,"skeena","north_streamtype",57.202
1990,"skeena","north_streamtype",55.976
1991,"skeena","north_streamtype",52.753
1992,"skeena","north_streamtype",63.392
1993,"skeena","north_streamtype",66.977
1994,"skeena","north_streamtype",48.712
1995,"skeena","north_streamtype",34.39
1996,"skeena","north_streamtype",73.684
1997,"skeena","north_streamtype",42.539
1998,"skeena","north_streamtype",46.744
1999,"skeena","north_streamtype",43.775
2000,"skeena","north_streamtype",51.804
2001,"skeena","north_streamtype",81.504
2002,"skeena","north_streamtype",44.771
2003,"skeena","north_streamtype",56.758
2004,"skeena","north_streamtype",44.243
2005,"skeena","north_streamtype",29.067
2006,"skeena","north_streamtype",33.094
2007,"skeena","north_streamtype",33.352
2008,"skeena","north_streamtype",32.963
2009,"skeena","north_streamtype",38.297
2010,"skeena","north_streamtype",43.331
2011,"skeena","north_streamtype",37.073
2012,"skeena","north_streamtype",34.024
2013,"skeena","north_streamtype",26.699
2014,"skeena","north_streamtype",28.496
2015,"skeena","north_streamtype",41.658
2016,"skeena","north_streamtype",34.153
2017,"skeena","north_streamtype",11.92
2018,"skeena","north_streamtype",37.481
1975,"kitsumkalum","north_streamtype",NA
1976,"kitsumkalum","north_streamtype",NA
1977,"kitsumkalum","north_streamtype",NA
1978,"kitsumkalum","north_streamtype",NA
1979,"kitsumkalum","north_streamtype",NA
1980,"kitsumkalum","north_streamtype",NA
1981,"kitsumkalum","north_streamtype",NA
1982,"kitsumkalum","north_streamtype",NA
1983,"kitsumkalum","north_streamtype",NA
1984,"kitsumkalum","north_streamtype",12.408
1985,"kitsumkalum","north_streamtype",8.304
1986,"kitsumkalum","north_streamtype",9.109
1987,"kitsumkalum","north_streamtype",23.657
1988,"kitsumkalum","north_streamtype",22.267
1989,"kitsumkalum","north_streamtype",17.925
1990,"kitsumkalum","north_streamtype",17.406
1991,"kitsumkalum","north_streamtype",9.288
1992,"kitsumkalum","north_streamtype",12.437
1993,"kitsumkalum","north_streamtype",14.059
1994,"kitsumkalum","north_streamtype",12.629
1995,"kitsumkalum","north_streamtype",7.221
1996,"kitsumkalum","north_streamtype",12.776
1997,"kitsumkalum","north_streamtype",5.342
1998,"kitsumkalum","north_streamtype",11.065
1999,"kitsumkalum","north_streamtype",9.763
2000,"kitsumkalum","north_streamtype",14.722
2001,"kitsumkalum","north_streamtype",23.839
2002,"kitsumkalum","north_streamtype",23.849
2003,"kitsumkalum","north_streamtype",23.608
2004,"kitsumkalum","north_streamtype",25.767
2005,"kitsumkalum","north_streamtype",15.046
2006,"kitsumkalum","north_streamtype",12.368
2007,"kitsumkalum","north_streamtype",15.736
2008,"kitsumkalum","north_streamtype",10.374
2009,"kitsumkalum","north_streamtype",10.703
2010,"kitsumkalum","north_streamtype",13.712
2011,"kitsumkalum","north_streamtype",12.105
2012,"kitsumkalum","north_streamtype",9.363
2013,"kitsumkalum","north_streamtype",10.934
2014,"kitsumkalum","north_streamtype",10.308
2015,"kitsumkalum","north_streamtype",14.5
2016,"kitsumkalum","north_streamtype",10.439
2017,"kitsumkalum","north_streamtype",4.943
2018,"kitsumkalum","north_streamtype",9.537
1975,"dean","north_streamtype",NA
1976,"dean","north_streamtype",NA
1977,"dean","north_streamtype",NA
1978,"dean","north_streamtype",3.5
1979,"dean","north_streamtype",4
1980,"dean","north_streamtype",2
1981,"dean","north_streamtype",3.5
1982,"dean","north_streamtype",NA
1983,"dean","north_streamtype",0.5
1984,"dean","north_streamtype",4.5
1985,"dean","north_streamtype",4
1986,"dean","north_streamtype",3.3
1987,"dean","north_streamtype",1.144
1988,"dean","north_streamtype",1.3
1989,"dean","north_streamtype",2.3
1990,"dean","north_streamtype",2
1991,"dean","north_streamtype",2.4
1992,"dean","north_streamtype",3
1993,"dean","north_streamtype",0.7
1994,"dean","north_streamtype",1.3
1995,"dean","north_streamtype",1.1
1996,"dean","north_streamtype",2
1997,"dean","north_streamtype",1.4
1998,"dean","north_streamtype",3
1999,"dean","north_streamtype",1.8
2000,"dean","north_streamtype",1.2
2001,"dean","north_streamtype",NA
2002,"dean","north_streamtype",NA
2003,"dean","north_streamtype",NA
2004,"dean","north_streamtype",NA
2005,"dean","north_streamtype",NA
2006,"dean","north_streamtype",NA
2007,"dean","north_streamtype",NA
2008,"dean","north_streamtype",NA
2009,"dean","north_streamtype",NA
2010,"dean","north_streamtype",NA
2011,"dean","north_streamtype",0.75
2012,"dean","north_streamtype",0.586
2013,"dean","north_streamtype",1.613
2014,"dean","north_streamtype",1.213
2015,"dean","north_streamtype",2.47
2016,"dean","north_streamtype",1.516
2017,"dean","north_streamtype",0.725
2018,"dean","north_streamtype",NA
1975,"wannock","north_oceantype",3
1976,"wannock","north_oceantype",1.5
1977,"wannock","north_oceantype",1.4
1978,"wannock","north_oceantype",2
1979,"wannock","north_oceantype",2
1980,"wannock","north_oceantype",2
1981,"wannock","north_oceantype",3
1982,"wannock","north_oceantype",0.75
1983,"wannock","north_oceantype",1.75
1984,"wannock","north_oceantype",0.75
1985,"wannock","north_oceantype",1.3
1986,"wannock","north_oceantype",7
1987,"wannock","north_oceantype",4.5
1988,"wannock","north_oceantype",4
1989,"wannock","north_oceantype",3
1990,"wannock","north_oceantype",3.5
1991,"wannock","north_oceantype",2
1992,"wannock","north_oceantype",7.5
